"id","label"
"107","It Security Engineer"
"108","Janitor"
"109","Lead Therapist"
"110","Maintenance Foreman"
"111","Maintenance Repairman"
"112","Maintenance Technician"
"113","Manager"
"114","Mechanical Engineer"
"115","Menu Specialist"
"116","Network Engineer"
"117","Network Systems Admintor"
"118","Nurse"
"119","Nurse Practitioner"
"120","Nutrition Field Representative"
"121","Nutritionist"
"122","Observation Evaluation Coordinator"
"123","Occupational Therapist"
"124","Office Manager"
"125","Operations Officer"
"126","Operator"
"127","Painter Mechanic"
"128","Paralegal"
"129","Parent Coordinator, Specialized Services"
"130","Parent Involvement Assistant"
"131","Parent Involvement Coord, Pre-K"
"132","Partnership Coordinator"
"133","Payroll Customer Service Representative"
"134","Payroll Processor"
"135","Payroll Specialist"
"136","Payroll Technical Supervisor"
"137","Personnel Assistant"
"138","Pest Control Foreman"
"139","Pest Control Technician"
"140","Physical Therapist"
"141","Planning Coordinator"
"142","Plumber"
"143","Police Lieutenant"
"144","Police Officer"
"145","Police Sergeant"
"146","Policy Research Analyst"
"147","Position Control Analys"
"148","Position Control Business Analyst"
"149","Prevention & Intervention Liaison"
"150","Principal"
"151","Procurement Manager"
"152","Professional Learning Specialist"
"153","Program Assistant"
"154","Program Coordinator"
"155","Program Manager"
"156","Program Specialist"
"157","Project Assistant"
"158","Project Coordinator"
"159","Project Manager"
"160","Property Management Specialist"
"161","Psychologist"
"162","Quality Assurance Splst"
"163","Quality Records Speclst"
"164","Records Clerk"
"165","Records Specialist"
"166","Recruitment & Selection Specialist"
"167","Recruitment Assistant"
"168","Reporting Specialist"
"169","Research Assistant"
"170","Research Associate"
"171","Research Specialist"
"172","Retirement Analyst"
"173","Retirement Clerk"
"174","School Aide"
"175","School Behavior Consultant"
"176","School Climate Liaison"
"177","School Climate Manager"
"178","School Improvement & Data Specialist"
"179","Secretary"
"180","Security Engineer"
"181","Site Administrator"
"182","Site Improvements Coordinator"
"183","Social Services & Mental Health Specialist"
"184","Social Worker"
"185","Special Education Assistant"
"186","Special Needs Coordinator"
"187","Special Projects Assistant"
"188","Speech Therapist"
"189","Staff Accountant"
"190","Stock Clerk"
"191","Stock Foreman"
"192","Strategy Analyst"
"193","Student Climate Staff"
"194","Student Disciplinary Hear Officer"
"195","Student Placement Specialist"
"196","Student Placement Support Clerk"
"197","Student Support Specialist"
"198","Superintendent Of Schools"
"199","Supervisor"
"200","System Engineer"
"201","Systems Analyst"
"202","Talent Partner"
"203","Talent Specialist"
"204","Teacher"
"205","Teacher Assistant"
"206","Teacher Resident"
"207","Teacher, Non-Certified Hourly"
"208","Technical Ops Coordinator"
"209","Technical Support Engineer"
"210","Technical Support Specialist"
"211","Technology Program Specialist"
"212","Trades Apprentice"
"213","Trades Leader"
"214","Trainer, Facilities Managment & Services"
"215","Trainer, School Safety Operations"
"216","Transportation Mechanic"
"217","Transportation Mechanic Foreman"
"218","Transportation Schedule Analyst"
"219","Treasury Analyst"
"220","Unemployment & Retirement Specialist"
"221","Web Developer"
"222","Specialist"
