"id","label","payrate_id","division_id"
"160","Property Management Specialist","1","7"
"161","Psychologist","1","7"
"162","Quality Assurance Splst","1","7"
"163","Quality Records Speclst","1","7"
"164","Records Clerk","1","7"
"165","Records Specialist","1","7"
"166","Recruitment & Selection Specialist","1","7"
"167","Recruitment Assistant","1","7"
"168","Reporting Specialist","1","7"
"169","Research Assistant","1","7"
"170","Research Associate","1","7"
"171","Research Specialist","1","7"
"172","Retirement Analyst","1","7"
"173","Retirement Clerk","1","7"
"174","School Aide","1","7"
"175","School Behavior Consultant","1","7"
"176","School Climate Liaison","1","7"
"177","School Climate Manager","1","7"
"178","School Improvement & Data Specialist","1","7"
"179","Secretary","1","7"
"180","Security Engineer","1","7"
"181","Site Administrator","1","7"
"182","Site Improvements Coordinator","1","7"
"183","Social Services & Mental Health Specialist","1","7"
"184","Social Worker","1","7"
"185","Special Education Assistant","1","7"
"186","Special Needs Coordinator","1","7"
"187","Special Projects Assistant","1","7"
"188","Speech Therapist","1","7"
"189","Staff Accountant","1","7"
"190","Stock Clerk","1","7"
"191","Stock Foreman","1","7"
"192","Strategy Analyst","1","7"
"193","Student Climate Staff","1","7"
"194","Student Disciplinary Hear Officer","1","7"
"195","Student Placement Specialist","1","7"
"196","Student Placement Support Clerk","1","7"
"197","Student Support Specialist","1","7"
"198","Superintendent Of Schools","1","7"
"199","Supervisor","1","7"
"200","System Engineer","1","7"
"201","Systems Analyst","1","7"
"202","Talent Partner","1","7"
"203","Talent Specialist","1","7"
"204","Teacher","1","7"
"205","Teacher Assistant","1","7"
"206","Teacher Resident","1","7"
"207","Teacher, Non-Certified Hourly","1","7"
"208","Technical Ops Coordinator","1","7"
"209","Technical Support Engineer","1","7"
"210","Technical Support Specialist","1","7"
"211","Technology Program Specialist","1","7"
"212","Trades Apprentice","1","7"
"213","Trades Leader","1","7"
"214","Trainer, Facilities Managment & Services","1","7"
"215","Trainer, School Safety Operations","1","7"
"216","Transportation Mechanic","1","7"
"217","Transportation Mechanic Foreman","1","7"
"218","Transportation Schedule Analyst","1","7"
"219","Treasury Analyst","1","7"
"220","Unemployment & Retirement Specialist","1","7"
"221","Web Developer","1","7"
"222","Specialist","1","7"
